Register Name,Address,Hex Address,Chip,Family,Model Support,Width,Bits,Function,Access Type,Notes
CIABTODHI,BFDA00,$BFDA00,CIAB,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,8,7-0,Time-of-day clock high,R/W,CIA registers are byte-wide; writes do not affect unused bits
CIABSDR,BFDC00,$BFDC00,CIAB,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,8,7-0,Serial data register,R/W,CIA registers are byte-wide; writes do not affect unused bits
CIABICR,BFDD00,$BFDD00,CIAB,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,8,7-0,Interrupt control register,R/W,CIA registers are byte-wide; writes do not affect unused bits
CIABCRA,BFDE00,$BFDE00,CIAB,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,8,7-0,Control register A,R/W,CIA registers are byte-wide; writes do not affect unused bits
CIABCRB,BFDF00,$BFDF00,CIAB,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,8,7-0,Control register B,R/W,CIA registers are byte-wide; writes do not affect unused bits
CIAAPRA,BFE001,$BFE001,CIAA,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,8,7-0,Port A data register,R/W,CIA registers are byte-wide; writes do not affect unused bits
CIAAPRB,BFE101,$BFE101,CIAA,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,8,7-0,Port B data register,R/W,CIA registers are byte-wide; writes do not affect unused bits
CIAADDRA,BFE201,$BFE201,CIAA,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,8,7-0,Port A direction,R/W,CIA registers are byte-wide; writes do not affect unused bits
CIAADDRB,BFE301,$BFE301,CIAA,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,8,7-0,Port B direction,R/W,CIA registers are byte-wide; writes do not affect unused bits
CIAATALO,BFE401,$BFE401,CIAA,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,8,7-0,Timer A low byte,R/W,CIA registers are byte-wide; writes do not affect unused bits
CIAATAHI,BFE501,$BFE501,CIAA,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,8,7-0,Timer A high byte,R/W,CIA registers are byte-wide; writes do not affect unused bits
CIAATBLO,BFE601,$BFE601,CIAA,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,8,7-0,Timer B low byte,R/W,CIA registers are byte-wide; writes do not affect unused bits
CIAATBHI,BFE701,$BFE701,CIAA,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,8,7-0,Timer B high byte,R/W,CIA registers are byte-wide; writes do not affect unused bits
CIAATODLOW,BFE801,$BFE801,CIAA,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,8,7-0,Time-of-day clock low,R/W,CIA registers are byte-wide; writes do not affect unused bits
CIAATODMID,BFE901,$BFE901,CIAA,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,8,7-0,Time-of-day clock mid,R/W,CIA registers are byte-wide; writes do not affect unused bits
CIAATODHI,BFEA01,$BFEA01,CIAA,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,8,7-0,Time-of-day clock high,R/W,CIA registers are byte-wide; writes do not affect unused bits
CIAASDR,BFEC01,$BFEC01,CIAA,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,8,7-0,Serial data register,R/W,CIA registers are byte-wide; writes do not affect unused bits
CIAAICR,BFED01,$BFED01,CIAA,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,8,7-0,Interrupt control register,R/W,CIA registers are byte-wide; writes do not affect unused bits
CIAACRA,BFEE01,$BFEE01,CIAA,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,8,7-0,Control register A,R/W,CIA registers are byte-wide; writes do not affect unused bits
CIAACRB,BFEF01,$BFEF01,CIAA,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,8,7-0,Control register B,R/W,CIA registers are byte-wide; writes do not affect unused bits
BLTDDAT,DFF000,$DFF000,BLITTER,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Blitter dest. early read (dummy address),E,Early-read/dummy access
DMACONR,DFF002,$DFF002,AGNUS,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Dma control (and blitter status) read,R,
VPOSR,DFF004,$DFF004,AGNUS,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Read vertical most sig. bits (and frame flop),R,
VHPOSR,DFF006,$DFF006,AGNUS,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Read vert and horiz position of beam,R,
DSKDATR,DFF008,$DFF008,PAULA,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Disk data early read (dummy address),E,Early-read/dummy access
JOY0DAT,DFF00A,$DFF00A,PAULA,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,"Joystick-mouse 0 data (vert, horiz)",R,
JOY1DAT,DFF00C,$DFF00C,PAULA,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,"Joystick-mouse 1 data (vert, horiz)",R,
CLXDAT,DFF00E,$DFF00E,DENISE,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Collision data reg. (read and clear),R,
ADKCONR,DFF010,$DFF010,PAULA,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,"Audio, disk control register read",R,
POT0DAT,DFF012,$DFF012,PAULA,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,"Pot counter data left pair (vert, horiz)",R,
POT1DAT,DFF014,$DFF014,PAULA,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,"Pot counter data right pair (vert, horiz)",R,
POTINP,DFF016,$DFF016,PAULA,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Pot pin data read,R,
SERDATR,DFF018,$DFF018,PAULA,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Serial port data and status read,R,
DSKBYTR,DFF01A,$DFF01A,PAULA,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Disk data byte and status read,R,
INTENAR,DFF01C,$DFF01C,PAULA,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Interrupt enable bits read,R,
INTREQR,DFF01E,$DFF01E,PAULA,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Interrupt request bits read,R,
DSKPTH,DFF020,$DFF020,PAULA,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Disk pointer (high 5 bits (OCS: 3 bits)),W,
DSKPTL,DFF022,$DFF022,PAULA,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Disk pointer (low 15 bits),W,
DSKLEN,DFF024,$DFF024,PAULA,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Disk length,W,
DSKDAT,DFF026,$DFF026,PAULA,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Disk DMA data write,W,
REFPTR,DFF028,$DFF028,AGNUS,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Refresh pointer,W,
VPOSW,DFF02A,$DFF02A,AGNUS,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Write vert most sig. bits (and frame flop),W,
VHPOSW,DFF02C,$DFF02C,AGNUS,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Write vert and horiz pos of beam,W,
COPCON,DFF02E,$DFF02E,AGNUS,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Coprocessor control,W,
SERDAT,DFF030,$DFF030,PAULA,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Serial port data and stop bits write,W,
SERPER,DFF032,$DFF032,PAULA,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Serial port period and control,W,
POTGO,DFF034,$DFF034,PAULA,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,"Pot count start,pot pin drive enable data",W,
JOYTEST,DFF036,$DFF036,PAULA,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Write to all 4 joystick-mouse counters at once,W,
STREQU,DFF038,$DFF038,AGNUS,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Strobe for horiz sync with VB and EQU,S,Write strobe
STRVBL,DFF03A,$DFF03A,AGNUS,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Strobe for horiz sync with VB (vert blank),S,Write strobe
STRHOR,DFF03C,$DFF03C,AGNUS,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Strobe for horiz sync,S,Write strobe
STRLONG,DFF03E,$DFF03E,AGNUS,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Strobe for identification of long horiz line,S,Write strobe
BLTCON0,DFF040,$DFF040,BLITTER,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Blitter control register 0,W,
BLTCON1,DFF042,$DFF042,BLITTER,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Blitter control register 1,W,
BLTAFWM,DFF044,$DFF044,BLITTER,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Blitter first word mask for source A,W,
BLTALWM,DFF046,$DFF046,BLITTER,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Blitter last word mask for source A,W,
BLTCPTH,DFF048,$DFF048,BLITTER,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Blitter pointer to source C (high 5 bits (OCS: 3 bits)),W,
BLTCPTL,DFF04A,$DFF04A,BLITTER,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Blitter pointer to source C (low 15 bits),W,
BLTBPTH,DFF04C,$DFF04C,BLITTER,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Blitter pointer to source B (high 5 bits (OCS: 3 bits)),W,
BLTBPTL,DFF04E,$DFF04E,BLITTER,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Blitter pointer to source B (low 15 bits),W,
BLTAPTH,DFF050,$DFF050,BLITTER,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Blitter pointer to source A (high 5 bits (OCS: 3 bits)),W,
BLTAPTL,DFF052,$DFF052,BLITTER,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Blitter pointer to source A (low 15 bits),W,
BLTDPTH,DFF054,$DFF054,BLITTER,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Blitter pointer to dest D (high 5 bits (OCS: 3 bits)),W,
BLTDPTL,DFF056,$DFF056,BLITTER,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Blitter pointer to dest D (low 15 bits),W,
BLTSIZE,DFF058,$DFF058,BLITTER,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,"Blitter start and size (win/width,height)",W,
BLTCON0L,DFF05A,$DFF05A,BLITTER,ECS/AGA,A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,"Blitter control 0, lower 8 bits (minterms)",W,
BLTSIZV,DFF05C,$DFF05C,BLITTER,ECS/AGA,A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Blitter V size (for 15 bit vertical size),W,
BLTSIZH,DFF05E,$DFF05E,BLITTER,ECS/AGA,A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Blitter H size and start (for 11 bit H size),W,
BLTCMOD,DFF060,$DFF060,BLITTER,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Blitter modulo for source C,W,
BLTBMOD,DFF062,$DFF062,BLITTER,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Blitter modulo for source B,W,
BLTAMOD,DFF064,$DFF064,BLITTER,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Blitter modulo for source A,W,
BLTDMOD,DFF066,$DFF066,BLITTER,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Blitter modulo for dest D,W,
BLTCDAT,DFF070,$DFF070,BLITTER,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Blitter source C data register,W,
BLTBDAT,DFF072,$DFF072,BLITTER,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Blitter source B data register,W,
BLTADAT,DFF074,$DFF074,BLITTER,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Blitter source A data register,W,
SPRHDAT,DFF078,$DFF078,AGNUS,ECS/AGA,A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Ext. logic UHRES sprite pointer and data identifier,W,
BPLHDAT,DFF07A,$DFF07A,AGNUS,ECS/AGA,A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Ext. logic UHRES bit plane identifier,W,
DENISEID,DFF07C,$DFF07C,DENISE,ECS/AGA,A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Chip revision level for Denise/Lisa (video out chip),R,
DSKSYNC,DFF07E,$DFF07E,PAULA,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Disk sync pattern reg for disk read,W,
COP1LCH,DFF080,$DFF080,AGNUS,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Coprocessor 1st location (high 5 bits (OCS: 3 bits)),W,
COP1LCL,DFF082,$DFF082,AGNUS,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Coprocessor 1st location (low 15 bits),W,
COP2LCH,DFF084,$DFF084,AGNUS,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Coprocessor 2nd location(high 5 bits (OCS: 3 bits)),W,
COP2LCL,DFF086,$DFF086,AGNUS,OCS/ECS/AGA,A1000/A500_OCS/A500_FAT_OCS/A2000_OCS/A2000_FAT/CDTV/A500_ECS/A500_PLUS/A600/A2000_ECS/A3000/A1200/A4000/CD32,16,15-0,Coprocessor 2nd location (low 15 bits),W,
