Register Name,Address,Hex Address,Chip,Family,Model Support,Width,Bits,Function,Access Type,Notes
COP1LCL,DFF082,$DFF082,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Copper list 1 pointer low,W,"Copper list 1 pointer low"
COP2LCH,DFF084,$DFF084,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Copper list 2 pointer high,W,"Copper list 2 pointer high"
COP2LCL,DFF086,$DFF086,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Copper list 2 pointer low,W,"Copper list 2 pointer low"
COPJMP1,DFF088,$DFF088,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Copper restart at first location,S,"Strobe address - Copper restart at first location"
COPJMP2,DFF08A,$DFF08A,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Copper restart at second location,S,"Strobe address - Copper restart at second location"
COPINS,DFF08C,$DFF08C,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Copper instruction fetch identify,S,"Copper instruction fetch identify"
BPL1PTH,DFF0E0,$DFF0E0,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Bitplane 1 pointer high,W,"Bitplane 1 pointer (high 5 bits (OCS: 3 bits))"
BPL1PTL,DFF0E2,$DFF0E2,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Bitplane 1 pointer low,W,"Bitplane 1 pointer (low 15 bits)"
BPL2PTH,DFF0E4,$DFF0E4,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Bitplane 2 pointer high,W,"Bitplane 2 pointer (high 5 bits (OCS: 3 bits))"
BPL2PTL,DFF0E6,$DFF0E6,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Bitplane 2 pointer low,W,"Bitplane 2 pointer (low 15 bits)"
BPL3PTH,DFF0E8,$DFF0E8,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Bitplane 3 pointer high,W,"Bitplane 3 pointer (high 5 bits (OCS: 3 bits))"
BPL3PTL,DFF0EA,$DFF0EA,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Bitplane 3 pointer low,W,"Bitplane 3 pointer (low 15 bits)"
BPL4PTH,DFF0EC,$DFF0EC,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Bitplane 4 pointer high,W,"Bitplane 4 pointer (high 5 bits (OCS: 3 bits))"
BPL4PTL,DFF0EE,$DFF0EE,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Bitplane 4 pointer low,W,"Bitplane 4 pointer (low 15 bits)"
BPL5PTH,DFF0F0,$DFF0F0,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Bitplane 5 pointer high,W,"Bitplane 5 pointer (high 5 bits (OCS: 3 bits))"
BPL5PTL,DFF0F2,$DFF0F2,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Bitplane 5 pointer low,W,"Bitplane 5 pointer (low 15 bits)"
BPL6PTH,DFF0F4,$DFF0F4,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Bitplane 6 pointer high,W,"Bitplane 6 pointer (high 5 bits (OCS: 3 bits))"
BPL6PTL,DFF0F6,$DFF0F6,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Bitplane 6 pointer low,W,"Bitplane 6 pointer (low 15 bits)"
BPL7PTH,DFF0F8,$DFF0F8,AGNUS,AGA,A4000/A1200,16,15-0,Bitplane 7 pointer high,W,"Bitplane 7 pointer (high 5 bits (OCS: 3 bits))"
BPL7PTL,DFF0FA,$DFF0FA,AGNUS,AGA,A4000/A1200,16,15-0,Bitplane 7 pointer low,W,"Bitplane 7 pointer (low 15 bits)"
BPL8PTH,DFF0FC,$DFF0FC,AGNUS,AGA,A4000/A1200,16,15-0,Bitplane 8 pointer high,W,"Bitplane 8 pointer (high 5 bits (OCS: 3 bits))"
BPL8PTL,DFF0FE,$DFF0FE,AGNUS,AGA,A4000/A1200,16,15-0,Bitplane 8 pointer low,W,"Bitplane 8 pointer (low 15 bits)"
BPL1MOD,DFF108,$DFF108,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Bitplane modulo (odd planes),W,"Bitplane modulo (odd planes)"
BPL2MOD,DFF10A,$DFF10A,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Bitplane modulo (even planes),W,"Bitplane modulo (even planes)"
BPLCON0,DFF100,$DFF100,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Bitplane control register 0,W,"Bitplane control register (miscellaneous control bits)"
BPLCON1,DFF102,$DFF102,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Bitplane control register 1,W,"Bitplane control register (horizontal scroll)"
BPLCON2,DFF104,$DFF104,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Bitplane control register 2,W,"Bitplane control register (video priority control)"
BPLCON3,DFF106,$DFF106,AGNUS,ECS,A600/A1200/A3000/A4000,16,15-0,Bitplane control register 3,W,"Bitplane control register (enhanced features)"
BPLCON4,DFF10C,$DFF10C,AGNUS,AGA,A4000,16,15-0,Bitplane control register 4,W,"Bitplane control register (enhanced features)"
BPL1DAT,DFF110,$DFF110,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Bitplane 1 data,W,"Bitplane 1 data (parallel to serial convert)"
BPL2DAT,DFF112,$DFF112,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Bitplane 2 data,W,"Bitplane 2 data (parallel to serial convert)"
BPL3DAT,DFF114,$DFF114,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Bitplane 3 data,W,"Bitplane 3 data (parallel to serial convert)"
BPL4DAT,DFF116,$DFF116,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Bitplane 4 data,W,"Bitplane 4 data (parallel to serial convert)"
BPL5DAT,DFF118,$DFF118,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Bitplane 5 data,W,"Bitplane 5 data (parallel to serial convert)"
BPL6DAT,DFF11A,$DFF11A,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Bitplane 6 data,W,"Bitplane 6 data (parallel to serial convert)"
BPL7DAT,DFF11C,$DFF11C,AGNUS,AGA,A4000/A1200,16,15-0,Bitplane 7 data,W,"Bitplane 7 data (parallel to serial convert)"
BPL8DAT,DFF11E,$DFF11E,AGNUS,AGA,A4000/A1200,16,15-0,Bitplane 8 data,W,"Bitplane 8 data (parallel to serial convert)"
HTOTAL,DFF1C0,$DFF1C0,AGNUS,ECS,A600/A1200/A3000/A4000,16,15-0,Horizontal line count,W,"Highest number count - horiz line (VARBEAMEN=1)"
HSSTOP,DFF1C2,$DFF1C2,AGNUS,ECS,A600/A1200/A3000/A4000,16,15-0,HSYNC stop,W,"Horizontal line position for HSYNC stop"
HBSTRT,DFF1C4,$DFF1C4,AGNUS,ECS,A600/A1200/A3000/A4000,16,15-0,HBLANK start,W,"Horizontal line position for HBLANK start"
HBSTOP,DFF1C6,$DFF1C6,AGNUS,ECS,A600/A1200/A3000/A4000,16,15-0,HBLANK stop,W,"Horizontal line position for HBLANK stop"
VTOTAL,DFF1C8,$DFF1C8,AGNUS,ECS,A600/A1200/A3000/A4000,16,15-0,Vertical line count,W,"Highest numbered vertical line (VARBEAMEN=1)"
